dataset,path
final,/home/lukasz/Obrazy/maki dataset/images/expanded_train/2CE26FC6-EA3F-4A64-BCDC-FF0722318104_1_201_a-768x1024.jpeg
final,/home/lukasz/Obrazy/maki dataset/images/expanded_train/images (4).jpeg
final,/home/lukasz/Obrazy/maki dataset/images/expanded_train/images (5).jpeg
final,/home/lukasz/Obrazy/maki dataset/images/expanded_train/images.jpeg
final,/home/lukasz/Obrazy/maki dataset/images/expanded_train/sadzenie-malin.jpeg
final,/home/lukasz/Obrazy/maki dataset/images/expanded_train/ff33cf046a02e4ee84225c81b5be1d73.jpg
final,/home/lukasz/Obrazy/maki dataset/images/expanded_train/251897_motyl.jpg
final,/home/lukasz/Obrazy/maki dataset/images/expanded_train/pol_pl_Roza-rabatowa-CIEMNO-CZERWONA-pachnaca-114303_8.jpg
final,/home/lukasz/Obrazy/maki dataset/images/expanded_train/gf-pN5s-T4xB-yU6Z_maliny-664x442-nocrop.jpg
final,/home/lukasz/Obrazy/maki dataset/images/expanded_train/tulipan-czerwony.webp
final,/home/lukasz/Obrazy/maki dataset/images/expanded_train/ultra-trail-quantum-meska-koszulka-dl-rekaw-red.jpg
val,/home/lukasz/Obrazy/maki dataset/images/init test/landscape-792996_960_720.jpg
val,/home/lukasz/Obrazy/maki dataset/images/init test/maliny.jpg
val,/home/lukasz/Obrazy/maki dataset/images/init test/images.jpeg
val,/home/lukasz/Obrazy/maki dataset/images/init test/196451_kwiat-czerwony-motyl-zblizenie.jpg
val,/home/lukasz/Obrazy/maki dataset/images/init test/FOTOTAPETA-KWIATY-MAKI-POLANA-CZERWONE-MAKI.jpeg
val,/home/lukasz/Obrazy/maki dataset/images/init test/1_max.jpg
val,/home/lukasz/Obrazy/maki dataset/images/init test/dziki-kwiat-laki-z-makami-i-chabry-700-31218553.jpg
val,/home/lukasz/Obrazy/maki dataset/images/init test/Projekt-bez-tytułu-8.webp
val,/home/lukasz/Obrazy/maki dataset/images/init test/red-ubrany-czlowiek-na-lace-400-603056.jpg
val,/home/lukasz/Obrazy/maki dataset/images/init test/maki-praca-plastyczna-13.jpg
val,/home/lukasz/Obrazy/maki dataset/images/init test/images (3).jpeg
train,/home/lukasz/Obrazy/maki dataset/images/init train/sonia-cervantes-mQuuDjNXeH8-unsplash.jpg
train,/home/lukasz/Obrazy/maki dataset/images/init train/botaniczne-ciekawostki-pabianic-mak-kwiat.jpg
train,/home/lukasz/Obrazy/maki dataset/images/init train/fototapety-mak-polny-gatunek-kwitnienia-roslin-z-rodziny-maku.jpg
train,/home/lukasz/Obrazy/maki dataset/images/init train/images.jpeg
train,/home/lukasz/Obrazy/maki dataset/images/init train/łąka kwietna.png
train,/home/lukasz/Obrazy/maki dataset/images/init train/mak polny.jpg
train,/home/lukasz/Obrazy/maki dataset/images/init train/poppy-4211948_1280.jpg
train,/home/lukasz/Obrazy/maki dataset/images/init train/pobrane.jpeg
train,/home/lukasz/Obrazy/maki dataset/images/init train/images (1).jpeg
train,/home/lukasz/Obrazy/maki dataset/images/init train/Laka-kwietna3_NickyPe_Pixabay.jpg
train,/home/lukasz/Obrazy/maki dataset/images/init train/kwiaty-czerwone-maki-papaver-rhoeas-pospolite-nazwy-mak-kukurydziany-roza-kukurydziana-mak-polny-czerwony-chwast-na-bialym-tle-z-miejscem-na-tekst-widok-z-gory-plasko-ukladany-700-118650499.jpg
train,/home/lukasz/Obrazy/maki dataset/images/init train/Papaver-ozdobne-lecznicze-14.jpg
train,/home/lukasz/Obrazy/maki dataset/images/init train/mak-polny-1.jpg
train,"/home/lukasz/Obrazy/maki dataset/images/init train/laka_kwiaty_00001_istock,nnyD62SdolTLo7bXW5mZ.jpg"
train,/home/lukasz/Obrazy/maki dataset/images/init train/poppy-g7264c8f48_640.jpg
train,/home/lukasz/Obrazy/maki dataset/images/init train/Mak-polny-Papaver-rhoeas_20200524_15.jpg
train,/home/lukasz/Obrazy/maki dataset/images/init train/laka_2.png
train,/home/lukasz/Obrazy/maki dataset/images/init train/Ł1-4.jpg
train,/home/lukasz/Obrazy/maki dataset/images/init train/images (2).jpeg
train,/home/lukasz/Obrazy/maki dataset/images/init train/botaniczne-ciekawostki-pabianic-mak-kwiat (1).jpg
train,/home/lukasz/Obrazy/maki dataset/images/init train/maki-polne2197.jpg
train,/home/lukasz/Obrazy/maki dataset/images/init train/agrogielda_offer_9MaC91D7S5FGztt4H2fmQrU6DiUZbowt.jpg
train,/home/lukasz/Obrazy/maki dataset/images/init train/000BX6405P7TMOIK-C122-F4.jpg
train,/home/lukasz/Obrazy/maki dataset/images/init train/czerwony-mak-na-lace-700-199781340.jpg
train,/home/lukasz/Obrazy/maki dataset/images/init train/images (3).jpeg
train,/home/lukasz/Obrazy/maki dataset/images/init train/1200px-Dolina_Małej_Łąki_a2.jpg
